Type,Clarity,Length,Height,Breadth,Depth,Style,Carat,Lab,Polish,Price,Symmetry,Company,Shape,Ratio,Cut,Color
Certified,VS1,9.2,3.9,6.32,61.7,LabGrown,1.41,IGI,EXCELLENT,304.16,EXCELLENT,DIAP,OVAL,1.46,EXCELLENT,D
Certified,VVS2,7.38,3.69,5.33,69.2,LabGrown,1.41,IGI,EXCELLENT,304.16,EXCELLENT,DIAP,EMERALD,1.38,EXCELLENT,D
Certified,VVS2,7.59,3.56,5.4,65.9,LabGrown,1.41,IGI,EXCELLENT,304.16,EXCELLENT,DIAP,EMERALD,1.41,EXCELLENT,E
Certified,VVS1,7.64,3.55,5.17,68.7,LabGrown,1.41,IGI,EXCELLENT,304.16,EXCELLENT,DIAP,EMERALD,1.48,EXCELLENT,E
Certified,VVS2,7.51,3.66,5.33,68.7,LabGrown,1.41,IGI,EXCELLENT,304.16,EXCELLENT,DIAP,EMERALD,1.41,EXCELLENT,E
Certified,VS2,7.79,3.42,5.37,63.7,LabGrown,1.41,IGI,EXCELLENT,304.16,EXCELLENT,DIAP,EMERALD,1.45,EXCELLENT,D
Certified,VVS2,7.5,3.64,5.25,69.3,LabGrown,1.41,IGI,EXCELLENT,304.16,EXCELLENT,DIAP,EMERALD,1.43,EXCELLENT,E
Certified,VVS1,7.17,4.44,7.2,61.7,LabGrown,1.41,GIA,EXCELLENT,754.72,EXCELLENT,DIAP,ROUND,1.0,EXCELLENT,D
Certified,VS2,7.19,4.41,7.24,61.1,LabGrown,1.41,IGI,EXCELLENT,298.37,EXCELLENT,DIAP,ROUND,0.99,IDEAL,E
Certified,VVS2,6.49,4.29,6.49,66.1,LabGrown,1.41,IGI,EXCELLENT,350.51,EXCELLENT,DIAP,CUSHION,1.0,EXCELLENT,G
Certified,VS1,6.52,4.37,6.52,67.0,LabGrown,1.41,IGI,EXCELLENT,350.51,EXCELLENT,DIAP,CUSHION,1.0,EXCELLENT,G
Certified,VS1,9.94,3.84,6.32,60.8,LabGrown,1.41,IGI,EXCELLENT,463.03,EXCELLENT,DIAP,PEAR,1.57,EXCELLENT,D
