Type,Clarity,Length,Height,Breadth,Depth,Style,Carat,Lab,Polish,Price,Symmetry,Company,Shape,Ratio,Cut,Color,combined_text
certified,vs1,7.96,3.49,5.31,65.7,labgrown,1.41,igi,excellent,272.3,excellent,diap,emerald,1.5,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: emerald, Price: 272.3, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,9.15,3.95,6.33,62.4,labgrown,1.41,igi,excellent,304.16,excellent,diap,oval,1.45,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: oval, Price: 304.16, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.21,4.37,7.24,60.4,labgrown,1.41,igi,excellent,353.18,excellent,diap,round,1.0,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 353.18, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,11.76,3.66,5.78,63.3,labgrown,1.41,igi,excellent,423.29,excellent,diap,marquise,2.03,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: marquise, Price: 423.29, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.55,3.49,5.37,65.0,labgrown,1.41,igi,excellent,251.44,excellent,diap,emerald,1.41,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: emerald, Price: 251.44, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.21,4.41,7.24,61.1,labgrown,1.41,igi,excellent,24957.72,excellent,diap,round,1.0,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: ideal, Shape: round, Price: 24957.72, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.28,4.33,7.3,59.4,labgrown,1.41,igi,excellent,347.85,excellent,diap,round,1.0,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: round, Price: 347.85, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.18,4.43,7.2,61.6,labgrown,1.41,igi,excellent,336.03,excellent,diap,round,1.0,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 336.03, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs1,7.24,4.39,7.26,60.6,labgrown,1.41,gia,excellent,754.72,excellent,diap,round,1.0,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs1, Color: d, Cut: excellent, Shape: round, Price: 754.72, Lab: gia, Polish: excellent, Symmetry: excellent"
certified,vs1,6.29,3.95,8.87,62.8,labgrown,1.41,igi,excellent,278.09,excellent,diap,oval,0.71,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: g, Cut: excellent, Shape: oval, Price: 278.09, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,7.17,4.44,7.14,62.1,labgrown,1.41,igi,excellent,312.85,excellent,diap,round,1.0,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: g, Cut: excellent, Shape: round, Price: 312.85, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.15,4.43,7.18,61.9,labgrown,1.41,igi,excellent,619.1,excellent,diap,round,1.0,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: round, Price: 619.1, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.15,4.42,7.2,61.6,labgrown,1.41,igi,excellent,619.1,excellent,diap,round,0.99,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: round, Price: 619.1, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.23,4.41,7.25,60.9,labgrown,1.41,igi,excellent,350.51,excellent,diap,round,1.0,ideal,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: ideal, Shape: round, Price: 350.51, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.57,3.96,6.54,60.6,labgrown,1.41,igi,excellent,360.07,excellent,diap,cushion,1.0,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: cushion, Price: 360.07, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.47,4.3,6.41,67.1,labgrown,1.41,gia,excellent,350.51,excellent,diap,cushion,1.01,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: cushion, Price: 350.51, Lab: gia, Polish: excellent, Symmetry: excellent"
certified,vs1,10.08,3.88,6.21,62.5,labgrown,1.41,igi,excellent,260.71,excellent,diap,pear,1.62,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: pear, Price: 260.71, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,10.09,3.92,6.33,61.9,labgrown,1.41,igi,excellent,254.92,excellent,diap,pear,1.59,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: e, Cut: excellent, Shape: pear, Price: 254.92, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.67,3.38,5.09,66.4,labgrown,1.41,igi,excellent,288.98,excellent,diap,emerald,1.51,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: g, Cut: excellent, Shape: emerald, Price: 288.98, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.2,4.4,7.25,60.8,labgrown,1.41,igi,excellent,319.81,excellent,diap,round,0.99,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: excellent, Shape: round, Price: 319.81, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,8.01,3.74,5.36,69.8,labgrown,1.41,igi,excellent,260.71,excellent,diap,radiant,1.49,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: radiant, Price: 260.71, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,9.79,3.86,6.29,61.4,labgrown,1.41,igi,excellent,269.4,excellent,diap,pear,1.56,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: f, Cut: excellent, Shape: pear, Price: 269.4, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,8.94,3.96,6.5,60.9,labgrown,1.41,igi,excellent,395.93,excellent,diap,oval,1.38,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: oval, Price: 395.93, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs1,9.22,3.95,6.32,62.5,labgrown,1.41,igi,excellent,390.53,excellent,diap,oval,1.46,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs1, Color: d, Cut: excellent, Shape: oval, Price: 390.53, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.2,4.45,7.21,61.7,labgrown,1.41,igi,excellent,336.03,excellent,diap,round,1.0,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 336.03, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.22,4.42,7.25,61.2,labgrown,1.41,igi,excellent,336.03,excellent,diap,round,1.0,ideal,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: ideal, Shape: round, Price: 336.03, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,7.23,4.43,7.26,61.2,labgrown,1.41,igi,excellent,333.13,excellent,diap,round,1.0,ideal,e,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: e, Cut: ideal, Shape: round, Price: 333.13, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,9.12,3.89,6.41,60.7,labgrown,1.41,igi,excellent,370.79,excellent,diap,oval,1.42,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: oval, Price: 370.79, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.23,4.51,7.29,62.4,labgrown,1.41,igi,excellent,347.62,excellent,diap,heart,0.99,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: heart, Price: 347.62, Lab: igi, Polish: excellent, Symmetry: excellent"
